DATE,CBETHUSD,Median_Low,Median_High,Median,AVG
2016-05-19,14.9,14.17,14.9,14.535,14.535
2016-05-20,14.17,14.17,14.9,14.535,14.535
2016-05-23,13.61,12.47,12.61,12.54,12.409999999999998
2016-05-24,12.77,12.47,12.61,12.54,12.409999999999998
2016-05-25,12.61,12.47,12.61,12.54,12.409999999999998
2016-05-26,12.47,12.47,12.61,12.54,12.409999999999998
2016-05-27,10.98,12.47,12.61,12.54,12.409999999999998
2016-05-28,12.02,12.47,12.61,12.54,12.409999999999998
2016-05-29,12.34,13.95,13.95,13.95,13.61
2016-05-30,12.88,13.95,13.95,13.95,13.61
2016-05-31,14.16,13.95,13.95,13.95,13.61
2016-06-01,13.93,13.95,13.95,13.95,13.61
2016-06-02,14.03,13.95,13.95,13.95,13.61
2016-06-03,13.98,13.95,13.95,13.95,13.61
2016-06-04,13.95,13.95,13.95,13.95,13.61
2016-06-05,14.04,14.22,14.22,14.22,14.305714285714286
2016-06-06,14.22,14.22,14.22,14.22,14.305714285714286
2016-06-07,14.52,14.22,14.22,14.22,14.305714285714286
2016-06-08,14.64,14.22,14.22,14.22,14.305714285714286
2016-06-09,14.71,14.22,14.22,14.22,14.305714285714286
2016-06-10,13.91,14.22,14.22,14.22,14.305714285714286
2016-06-11,14.1,14.22,14.22,14.22,14.305714285714286
2016-06-12,15.58,17.89,17.89,17.89,16.994285714285716
2016-06-13,17.89,17.89,17.89,17.89,16.994285714285716
2016-06-14,18.79,17.89,17.89,17.89,16.994285714285716
2016-06-15,18.42,17.89,17.89,17.89,16.994285714285716
2016-06-16,20.99,17.89,17.89,17.89,16.994285714285716
2016-06-17,15.65,17.89,17.89,17.89,16.994285714285716
2016-06-18,11.64,17.89,17.89,17.89,16.994285714285716
2016-06-19,12.35,13.81,13.81,13.81,13.422857142857143
2016-06-20,11.81,13.81,13.81,13.81,13.422857142857143
2016-06-21,13.89,13.81,13.81,13.81,13.422857142857143
2016-06-22,13.18,13.81,13.81,13.81,13.422857142857143
2016-06-23,13.81,13.81,13.81,13.81,13.422857142857143
2016-06-24,14.55,13.81,13.81,13.81,13.422857142857143
2016-06-25,14.37,13.81,13.81,13.81,13.422857142857143
2016-06-26,14.02,12.49,12.49,12.49,12.858571428571429
2016-06-27,14.1,12.49,12.49,12.49,12.858571428571429
2016-06-28,12.23,12.49,12.49,12.49,12.858571428571429
2016-06-29,12.74,12.49,12.49,12.49,12.858571428571429
2016-06-30,12.49,12.49,12.49,12.49,12.858571428571429
2016-07-01,12.34,12.49,12.49,12.49,12.858571428571429
2016-07-02,12.09,12.49,12.49,12.49,12.858571428571429
2016-07-03,12.02,11.01,11.01,11.01,11.032857142857143
2016-07-04,11.48,11.01,11.01,11.01,11.032857142857143
2016-07-05,10.6,11.01,11.01,11.01,11.032857142857143
2016-07-06,10.61,11.01,11.01,11.01,11.032857142857143
2016-07-07,10.08,11.01,11.01,11.01,11.032857142857143
2016-07-08,11.43,11.01,11.01,11.01,11.032857142857143
2016-07-09,11.01,11.01,11.01,11.01,11.032857142857143
2016-07-10,11.02,11.02,11.02,11.02,11.172857142857143
2016-07-11,10.72,11.02,11.02,11.02,11.172857142857143
2016-07-12,10.57,11.02,11.02,11.02,11.172857142857143
2016-07-13,10.49,11.02,11.02,11.02,11.172857142857143
2016-07-14,11.62,11.02,11.02,11.02,11.172857142857143
2016-07-15,11.99,11.02,11.02,11.02,11.172857142857143
2016-07-16,11.8,11.02,11.02,11.02,11.172857142857143
2016-07-17,11.33,12.5,12.5,12.5,12.677142857142856
2016-07-18,11.05,12.5,12.5,12.5,12.677142857142856
2016-07-19,11.75,12.5,12.5,12.5,12.677142857142856
2016-07-20,12.5,12.5,12.5,12.5,12.677142857142856
2016-07-21,12.76,12.5,12.5,12.5,12.677142857142856
2016-07-22,14.83,12.5,12.5,12.5,12.677142857142856
2016-07-23,14.52,12.5,12.5,12.5,12.677142857142856
2016-07-24,12.78,12.84,12.84,12.84,12.864285714285714
2016-07-25,13.91,12.84,12.84,12.84,12.864285714285714
2016-07-26,12,12.84,12.84,12.84,12.864285714285714
2016-07-27,13.1,12.84,12.84,12.84,12.864285714285714
2016-07-28,12.93,12.84,12.84,12.84,12.864285714285714
2016-07-29,12.84,12.84,12.84,12.84,12.864285714285714
2016-07-30,12.49,12.84,12.84,12.84,12.864285714285714
2016-07-31,11.99,11.01,11.01,11.01,10.844285714285714
2016-08-01,10.95,11.01,11.01,11.01,10.844285714285714
2016-08-02,8.78,11.01,11.01,11.01,10.844285714285714
2016-08-03,10.68,11.01,11.01,11.01,10.844285714285714
2016-08-04,11.32,11.01,11.01,11.01,10.844285714285714
2016-08-05,11.18,11.01,11.01,11.01,10.844285714285714
2016-08-06,11.01,11.01,11.01,11.01,10.844285714285714
2016-08-07,10.99,11.73,11.73,11.73,11.709999999999999
2016-08-08,11.34,11.73,11.73,11.73,11.709999999999999
2016-08-09,12.28,11.73,11.73,11.73,11.709999999999999
2016-08-10,12.21,11.73,11.73,11.73,11.709999999999999
2016-08-11,11.73,11.73,11.73,11.73,11.709999999999999
2016-08-12,11.81,11.73,11.73,11.73,11.709999999999999
2016-08-13,11.61,11.73,11.73,11.73,11.709999999999999
2016-08-14,11.28,11.18,11.18,11.18,11.06
2016-08-15,11.3,11.18,11.18,11.18,11.06
2016-08-16,11.18,11.18,11.18,11.18,11.06
2016-08-17,10.82,11.18,11.18,11.18,11.06
2016-08-18,10.77,11.18,11.18,11.18,11.06
2016-08-19,10.77,11.18,11.18,11.18,11.06
2016-08-20,11.3,11.18,11.18,11.18,11.06
2016-08-21,11.21,11.18,11.18,11.18,11.16
2016-08-22,11.1,11.18,11.18,11.18,11.16
2016-08-23,11,11.18,11.18,11.18,11.16
2016-08-24,11.01,11.18,11.18,11.18,11.16
2016-08-25,11.34,11.18,11.18,11.18,11.16
2016-08-26,11.28,11.18,11.18,11.18,11.16
2016-08-27,11.18,11.18,11.18,11.18,11.16
2016-08-28,11.01,11.7,11.7,11.7,11.564285714285715
2016-08-29,10.95,11.7,11.7,11.7,11.564285714285715
2016-08-30,11.21,11.7,11.7,11.7,11.564285714285715
2016-08-31,11.7,11.7,11.7,11.7,11.564285714285715
2016-09-01,12.05,11.7,11.7,11.7,11.564285714285715
2016-09-02,12.15,11.7,11.7,11.7,11.564285714285715
2016-09-03,11.88,11.7,11.7,11.7,11.564285714285715
2016-09-04,11.77,11.71,11.71,11.71,11.722857142857142
2016-09-05,11.76,11.71,11.71,11.71,11.722857142857142
2016-09-06,11.71,11.71,11.71,11.71,11.722857142857142
2016-09-07,11.58,11.71,11.71,11.71,11.722857142857142
2016-09-08,11.39,11.71,11.71,11.71,11.722857142857142
2016-09-09,11.64,11.71,11.71,11.71,11.722857142857142
2016-09-10,12.21,11.71,11.71,11.71,11.722857142857142
2016-09-11,11.65,11.92,11.92,11.92,12.095714285714285
2016-09-12,11.86,11.92,11.92,11.92,12.095714285714285
2016-09-13,11.92,11.92,11.92,11.92,12.095714285714285
2016-09-14,11.91,11.92,11.92,11.92,12.095714285714285
2016-09-15,11.96,11.92,11.92,11.92,12.095714285714285
2016-09-16,12.58,11.92,11.92,11.92,12.095714285714285
2016-09-17,12.79,11.92,11.92,11.92,12.095714285714285
2016-09-18,12.64,13.2,13.2,13.2,13.381428571428572
2016-09-19,13.17,13.2,13.2,13.2,13.381428571428572
2016-09-20,14.56,13.2,13.2,13.2,13.381428571428572
2016-09-21,13.76,13.2,13.2,13.2,13.381428571428572
2016-09-22,13.2,13.2,13.2,13.2,13.381428571428572
2016-09-23,13.37,13.2,13.2,13.2,13.381428571428572
2016-09-24,12.97,13.2,13.2,13.2,13.381428571428572
2016-09-25,13.12,13.12,13.12,13.12,13.132857142857144
2016-09-26,12.84,13.12,13.12,13.12,13.132857142857144
2016-09-27,13.09,13.12,13.12,13.12,13.132857142857144
2016-09-28,13.32,13.12,13.12,13.12,13.132857142857144
2016-09-29,13.11,13.12,13.12,13.12,13.132857142857144
2016-09-30,13.23,13.12,13.12,13.12,13.132857142857144
2016-10-01,13.22,13.12,13.12,13.12,13.132857142857144
2016-10-02,13.28,13.09,13.09,13.09,13.002857142857142
2016-10-03,13.51,13.09,13.09,13.09,13.002857142857142
2016-10-04,13.32,13.09,13.09,13.09,13.002857142857142
2016-10-05,13.09,13.09,13.09,13.09,13.002857142857142
2016-10-06,12.86,13.09,13.09,13.09,13.002857142857142
2016-10-07,12.7,13.09,13.09,13.09,13.002857142857142
2016-10-08,12.26,13.09,13.09,13.09,13.002857142857142
2016-10-09,12.1,11.92,11.92,11.92,11.901428571428571
2016-10-10,11.78,11.92,11.92,11.92,11.901428571428571
2016-10-11,11.77,11.92,11.92,11.92,11.901428571428571
2016-10-12,11.92,11.92,11.92,11.92,11.901428571428571
2016-10-13,11.87,11.92,11.92,11.92,11.901428571428571
2016-10-14,11.92,11.92,11.92,11.92,11.901428571428571
2016-10-15,11.95,11.92,11.92,11.92,11.901428571428571
2016-10-16,11.95,12.03,12.03,12.03,12.085714285714285
2016-10-17,11.96,12.03,12.03,12.03,12.085714285714285
